alt_id,comment,created_by,creation_date,def,name,property_value,subset,synonym,xref
,,,,,popping expansion volume,,,"['""popcorn volume (related)"" RELATED []', '""POPEXPVOL (related)"" RELATED []']",
,,,,,relative shoot dry weight,,,"['""RELSHDWT (related)"" RELATED []']",
,,,,,spike width,,,"['""SPIKEWD (related)"" RELATED []']",
,,,,,seed fertility,,,"['""percent seed fertility (related)"" RELATED []', '""SDFRT (related)"" RELATED []']",
,,,,"""Total sum of number of roots in a plant derived per experiment."" [Gramene:pankaj_jaiswal]",total root number,,,"['""TRTNB (related)"" RELATED []']",
,Refer to length (PATO:0000122): A 1-D extent quality which is equal to the distance between two points.,,,"""An inflorescence primary branch morphology trait (TO:0000846) which the length of a second order inflorescence axis (PO:0006321)."" [Gramene:pankaj_jaiswal, PO:0006321, TO:moorel]",inflorescence primary branch length,,,"['""PBRLG (related)"" RELATED []']",['PATO:0000122']
,Refer to diameter (PATO:0001334): A length quality which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary.,,,"""A leaf sheath morphology trait (TO:0000835) which is the measurement, in centimeters of the leaf sheath (PO:0020104) diameter."" [Gramene:pankaj_jaiswal, PO:0020104, TO:moorel]",leaf sheath diameter,,,"['""LFSDIA (related)"" RELATED []']",['PATO:0001334']
,,,,"""An inflorescence morphology trait (TO:0000050) that is the length of the bristles found on an inflorescence (PO:0009049)."" [Gramene:pankaj_jaiswal, PO:0009049, TO:moorel]",inflorescence bristle length,,,"['""BRLG (related)"" RELATED []']",['TO_GIT:153']
,,,,"""The relative (dry)weight of the root determined after a given treatment as compared to the one determined under normal conditions."" [Gramene:pankaj_jaiswal]",relative root dry weight,,,"['""RELRTDWT (related)"" RELATED []']",
,,jaiswalp,,,relative phosphorus concentration,,,"['""RELPHOCONC (related)"" RELATED []']",
,,,,,cauline axillary branch number,,,"['""CAUAXIBRNB (related)"" RELATED []']",
,,,,,relative acid phosphatase activity,,,"['""RELACIDPASEACT (related)"" RELATED []']",
,,,,,relative phosphorus uptake,,,"['""RELPHOUP (related)"" RELATED []']",
,Refers to the width ((PATO:0000921):A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite) of a peduncle (PO:0009053).,,,"""A peduncle morphology trait (TO:0000776) which is the width of a peduncle (PO:0025386)."" [Gramene:pankaj_jaiswal, PO:0025386, TO:cooperl]",peduncle width,,,"['""PDCWD (related)"" RELATED []']","['PATO:0000921', 'TO_GIT:88']"
,Refer to length PATO:0000122: A 1-D extent quality which is equal to the distance between two points.,,,"""A lemma morphology trait (TO:1000023) which is the length of the lemma (PO:0009037)."" [Gramene:pankaj_jaiswal, PATO:0000122, PO:0009037, TO:moorel]",lemma length,,,"['""LEMLG (related)"" RELATED []']",['TO_GIT:390']
,,,,,flour color,,,"['""FLRCL (related)"" RELATED []']",
,"If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",,,"""A leaf morphology trait (TO:0000748) which is the leaf surface area affected by abiotic stresses like insecticides and cold temperature as evidenced by chlorotic and/or necrotic tissue."" [Gramene:pankaj_jaiswal, TO:cooperl]",leaf necrosis,,,"['""leaf scorch (related)"" RELATED []', '""LFNEC (related)"" RELATED []']",
,,,,"""A multi-tissue plant structure development trait (TO:0000927) that has as primary participant a seed (PO:0009010)."" [Gramene:pankaj_jaiswal, TO:cooperl]",seed growth and development trait,,,,['TO_GIT:254']
,,,,"""A plant structure growth and development trait (TO:0000928) that is a quality of the growth of the shoot system (PO:0009006), and shoot system development stages (PO:0025527)."" [Gramene:pankaj_jaiswal, TO:cooperl]",shoot system growth and development trait,,,,['TO_GIT:268']
,,jaiswalp,,"""A plant organ development trait (TO:0000927) that has as primary participant a leaf (PO:0025034)."" [Gramene:pankaj_jaiswal, TO:cooperl]",leaf growth and development trait,,,,['TO_GIT:253']
,,,,"""Traits associated with observing effects on the development of the root and its parts."" [Gramene:pankaj_jaiswal]",root development trait,,,,
,,,,"""An inflorescence morphology trait (TO:0000373) which is a quality of a spikelet (PO:0009051)."" [Gramene:pankaj_jaiswal, PO:0009051, TO:cooperl, TO:moorel]",spikelet morphology trait,,,,['TO_GIT:144']
,"Depends on the study type. For a study with multiple plants, on average 50% of the plants must have exposed silks.",,,"""It is determined as the number of days from the seed sowing to the first visible silk (stigma) on the maize ear."" [Gramene:pankaj_jaiswal]",days to silk,,,,
,,,,"""The time interval between the appearance of successive leaves (days/leaf) on the developing shoot."" [Gramene:pankaj_jaiswal]",phyllochron,,,,
,,,,,axillary bud dormancy,,,,
,,,,,tiller bud dormancy,,,,
,,,,"""Caused by Fusarium graminearum Schwabe, that affects the quality and yield of barley (Hordeum vulgare L.) grain."" [Gramene:pankaj_jaiswal]",barley fusarium head blight resistance,,,"['""Hv_FUSHEADBTRS (related)"" RELATED []']",
,,,,"""Caused by Fusarium graminearum Schwabe (teleomorph: Gibberella zeae), in the USA and Canada. It causes severe yield and quality losses in wheat (Triticum aestivum L.)."" [Gramene:pankaj_jaiswal]",wheat fusarium head blight resistance,,,"['""Ta_FUSHEADBTRS (related)"" RELATED []']",['TO_GIT:70']
,,,,,fungal blight disease resistance,,,,
,,,,"""Measurement of the whitish area found in the dehulled grain."" [Gramene:pankaj_jaiswal]",grain core area white,,,"['""GRCARWHT (related)"" RELATED []']",
,,,,,brown rice yield,,,"['""BRWRYLD (related)"" RELATED []']",
,,,,"""Measuring amount of toxins found in the host plant after the infection by a fungal pathogen. The toxin is produced by the pathogen."" [Gramene:pankaj_jaiswal]",mycotoxin content,,,,
,,,,"""Measuring amount of mycotoxin deoxynivalenol found in the host plant after the infection by a fungus Fusarium sp."" [Gramene:pankaj_jaiswal, PMID:12897863]",deoxynivalenol content,,,"['""DONCONC (related)"" RELATED []']",
,,,,"""The number of flowers present on a inflorescence branch or in the inflorescence itself."" [Gramene:pankaj_jaiswal]",floret number,,,"['""FLNB (related)"" RELATED []']",
,,,,,pre-flowering flower abortion,,,"['""frequency of pre-flowering floret abortion (related)"" RELATED []', '""pre-flowering floret abortion (related)"" RELATED []', '""PREFLFLRABR (related)"" RELATED []']",
,,,,,bran percentage,,,"['""BRAPCENT (related)"" RELATED []', '""rice bran percentage (related)"" RELATED []']",
,,,,"""Caused by Fusarium graminearum Schwabe (telomorph: Gibberella zeae), in the USA and Canada. It causes severe yield and quality losses in wheat (Triticum turgidum)."" [Gramene:pankaj_jaiswal]",tetraploid wheat fusarium head blight resistance,,,"['""tetraploid wheat fusarium head blight disease resistance (related)"" RELATED []', '""Tt_FUSHEADBTRS (related)"" RELATED []']",
,,,,"""They are non-nutritive plant chemicals that have protective or disease preventive properties."" [Gramene:pankaj_jaiswal]",phytochemical compound content,,,,
,"It is found in the leaves and seeds of many plants, but especially in cereals such as brown rice, whole wheat and oats.",,,"""Amount of ferulic acid content determined in a given plant part. Ferulic acid is an antioxidant which neutralizes free radicals (superoxide, nitric oxide and hydroxyl radical) which could cause oxidative damage of cell membranes and DNA. Ferulic acid helps to prevent damage to the cells caused by ultraviolet light."" [Gramene:pankaj_jaiswal]",ferulic acid content,,,"['""4-hydroxy-3-methoxycinnamic acid (related)"" RELATED []', '""FERULICACIDCN (related)"" RELATED []']",
,,,,"""Style color is determined from blooming flowers or florets."" [Gramene:pankaj_jaiswal]",style color,,,"['""color of silk (related)"" RELATED []', '""color of style (related)"" RELATED []', '""silk color (related)"" RELATED []', '""STYCL (related)"" RELATED []']",
,Refers to: position (PATO_0000140): A spatial quality inhering in a bearer by virtue of the bearer's spatial location relative to other objects in the vicinity.,,,"""A leaf position (TO:0000541) which is the position of the third leaf (PO:0025034) on a plant."" [Gramene:pankaj_jaiswal, TO:cooperl]",third leaf position,,,"['""3LFHT (related)"" RELATED []', '""3rd leaf height (related)"" RELATED []', '""third leaf height (related)"" RELATED []']",['TO_GIT:226']
,"The cob is the first order infructescence axis PO:0025244 of the ear infructescence (new). Refers to diameter (PATO:0001334): A length quality which is equal to the length of any straight line segment that passes through the center of a circle and whose endpoints are on the circular boundary. In maize, this is measured in centimeters.",,,"""An infructescence axis morphology trait (TO:0000921) which is the diameter of a cob."" [TO:cooperl]",cob diameter,,,"['""cobd (related)"" RELATED [MaizeGDB_QTL:82753]', '""COBDIA (related)"" RELATED []', '""diameter of central spike of ear  (related)"" RELATED []']","['MaizeGDB_QTL:82753', 'PATO:0001334', 'TO_GIT:243']"
,,,,,inflorescence circumference,,,"['""INFLOCIRCUM (related)"" RELATED []']",
,Refers to circumference (PATO:0001648):  An 1-D extent quality which is equal to the length of the closed curve of a circle. Ear circumference (TO:0000681) is equal to ear diameter (TO:0000433) times 3.14.,,,"""An ear infructescence morphology trait (TO:0000976) that is the circumference of an ear infructescence (PO:0025597)."" [TO:cooperl]",ear circumference,,,"['""ear infructescence circumference (exact)"" EXACT []', '""EARCIRCUM (related)"" RELATED []']",['TO_GIT:132']
,Refer to height (PATO:0000119):  A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension.,,,"""An inflorescence morphology trait (TO:0000373) which is the height of an inflorescence (PO:0009049) measured from ground to the attachment point."" [Gramene:pankaj_jaiswal, PO:0009049, TO:moorel]",inflorescence height,,,"['""INFLOHT (related)"" RELATED []']","['PATO:0000119', 'TO_GIT:226']"
,Refers to: position (PATO_0000140): A spatial quality inhering in a bearer by virtue of the bearer's spatial location relative to other objects in the vicinity.  In maize this is usually measured from the ground to the attachment point of the ear.,,,"""An ear infructescence morphology trait (TO:0000976) which is the position of an ear infructescence (PO:0025597)."" [Gramene:pankaj_jaiswal, TO:cooperl, TO:moorel]",ear infructescence position,,,"['""ear height (related)"" RELATED []', '""EARHT (related)"" RELATED []']","['MaizeGDB_QTL:61369', 'TO_GIT:226']"
,,,,"""An assay to test for aroma and flavor reminiscent of freshly cut grass."" [Gramene:pankaj_jaiswal]",grassy flavor,,,"['""grassy flavour (related)"" RELATED []', '""GRASSYFLVOR (related)"" RELATED []']",
,,,,"""An assay for the soft and juicy texture."" [Gramene:pankaj_jaiswal]",fruit tenderness,,,"['""FRTENDER (related)"" RELATED []', '""TENDER (related)"" RELATED []']",
,,,,"""An assay for a juicy appetizingness."" [Gramene:pankaj_jaiswal]",juiciness,,,"['""JUICE (related)"" RELATED []', '""succulence (related)"" RELATED []']",
,"In maize, kernel row number is counted on the central, widest part of the uppermost ear infructescence. In comparing to teosinte ""rank"",  kernel row number is divided by two.",,,"""An infructescence morphology trait (TO:0000920) which is the number of rows of kernels per ear infructescence (PO:0025597)."" [TO:cooperl]",kernel row number per ear,,,"['""kernel row number per ear (related)"" RELATED []', '""KERROWNB (related)"" RELATED []']","['MaizeGDB_QTL:99383', 'TO_GIT:286']"
,,,,"""A infructescence yield trait (TO:0000936) which is the length of a kernel row from base to where kernels end on the ear infructescence (PO:0025597)."" [TO:cooperl]",kernel row length,,,"['""kernel set length (related)"" RELATED []', '""KERROWLG (related)"" RELATED []']",['TO_GIT:288']
,,,,,grain tenderness,,,"['""GRTENDER (related)"" RELATED []', '""kernel tenderness (related)"" RELATED []']",
,Maysin is a coagulable globulin protein produced by the maize plant. It has insecticide properties.,,,"""Measures the maysin content in a plant or plant part."" [Gramene:pankaj_jaiswal]",maysin content,,,"['""MAYSINCN (related)"" RELATED []']",
,,,,"""Causal agent: Setosphaeria turcica."" [Gramene:pankaj_jaiswal]",Zea mays northern leaf blight disease resistance,,,,
,,,,,NCLB incubation period,,,"['""NLFBTINCUBPD (related)"" RELATED []']",
,,,,,NCLB area under disease progress curve,,,"['""AUDPC (related)"" RELATED []', '""NLFBTPROGCURV (related)"" RELATED []']",
,,,,"""An assay of firmness and freshness of the fruit."" [Gramene:pankaj_jaiswal]",fruit crispness,,,"['""CRISP (related)"" RELATED []']",
,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts.",,,"""A leaf margin morphology trait (TO:0002635) which is the color of a leaf margin (PO:0020128)."" [PO:0020128, TO:moorel]",leaf margin color,,,"['""leaf margin pigmentation (related)"" RELATED []', '""LFMCL (related)"" RELATED []', '""pigmentation of leaf margin (related)"" RELATED []']",['PATO:0000014']
,,,,"""Amount of starch present in the plant or plant part."" [Gramene:pankaj_jaiswal]",starch content,,,"['""STARCHCN (related)"" RELATED []']",
,,,,"""An assay to determine the starch yield from a bigger sample such as from a given population or from a plot or field. It is often carried out initially with the smaller sample but later converted to associate with a large sample for example record starch yield in kilograms per hectare."" [Gramene:pankaj_jaiswal]",starch yield,,,"['""STARCHYLD (related)"" RELATED []']",
,,,,,starchiness,,,"['""mealiness (related)"" RELATED []', '""STARCH (related)"" RELATED []']",
,,,,"""Catalysis of the reaction: UDP-glucose + D-fructose = UDP + sucrose."" [GO:0016157]",sucrose synthase activity trait,,,"['""SUSACT (related)"" RELATED []']",
,,,,"""The quality of having the pleasant taste characteristic of sugar."" [Gramene:pankaj_jaiswal]",fruit sweetness,,,"['""FRSWEET (related)"" RELATED []', '""SWEET (related)"" RELATED []']",
,,,,"""The pressure within the cell resulting from the absorption of water into the vacuole and the imbibition of water by the protoplasm."" [Gramene:pankaj_jaiswal]",turgor pressure,,,"['""TURGPRES (related)"" RELATED []']",
,,,,"""Concentration of starch present in the plant or plant part."" [Gramene:pankaj_jaiswal]",starch concentration,,,"['""STARCHCONC (related)"" RELATED []']",
,,,,"""An enzyme activity trait (TO:0000599) which is the quality of the hydrolysis of amylose or an amylose derivative by amylase."" [Gramene:pankaj_jaiswal]",amylase activity trait,,,,
,,,,"""Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate."" [GO:0016791]",phosphatase activity trait,,,"['""phosphoric monoester hydrolase activity (related)"" RELATED []']",
,,,,"""Catalysis of the reaction: an orthophosphoric monoester + H2O = an alcohol + phosphate."" [EC:3.1.3.2, GO:0003993]",acid phosphatase activity trait,,,"['""ACIDPASEACT (related)"" RELATED []']",
,"A caryopsis hull (PO:0006000) is the dry outer covering of a caryopsis fruit (PO:0030104; grain). The caryopsis hull is comprised of a dry lemma and palea, which enclose a spiklet  floret (PO:0009082).",,,"""A collective phyllome structure morphology trait (TO:0000845) that is the color of a caryopsis hull (PO:0006000)."" [Gramene:pankaj_jaiswal, TO:cooperl]",hull color,,,"['""HULCL (related)"" RELATED []']",
,"Pericarp is the wall of a fruit, developed from the ovary or carpel wall. Also scored for grain color or color of the dehulled grain in grasses.",,,"""A pericarp morphology trait (TO:0000945) that is the color of the pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, TO:cooperl]",pericarp color,,,"['""bran color (related)"" RELATED []', '""dehulled grain color (related)"" RELATED []', '""DHULGRCL (related)"" RELATED []', '""grain color (related)"" RELATED []', '""PERICARPCL (related)"" RELATED []']","['PATO:0000014', 'TO_GIT:292']"
,,,,"""A whole plant morphology trait (TO:0000398) which is the color of a whole plant (PO:0000003)."" [Gramene:pankaj_jaiswal, PO:0000003, TO:cooperl]",plant color,,,,"['PATO:0000014', 'TO_GIT:367', 'TO_GIT:85']"
,"If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",,,"""A leaf morphology trait (TO:0000748) which is the appearance of glossiness of the leaf surface. Contributed by change in either the amount or content of cuticle wax (PO:0025386) on a leaf (PO:0025034)."" [Gramene:pankaj_jaiswal]",leaf gloss,,,,
,"Globulin proteins also called globular  proteins, or spheroproteins are one of the main protein classes. These have a globelike protein structure, that is more or less soluble in aqueous solutions. The two major sub classes are alpha and beta globulins.",,,"""Assay to detrmine the amount of globulin proteins."" [Gramene:pankaj_jaiswal]",globulin protein content,,,,
,"It is expected that the herbicide application must not affect the agronomic yield, if any.",,,"""An assay to determine the tolerance exhibited by a plant or a group of plants (population) towards the applied herbicide imidazolinone."" [Gramene:pankaj_jaiswal]",imidazolinone sensitivity,,,,['PECO:0007633']
,"It is expected that the herbicide application must not affect the agronomic yield, if any.",,,"""An assay to determine the tolerance exhibited by a plant or a group of plants (population) towards the applied herbicide sulfonylurea."" [Gramene:pankaj_jaiswal]",sulfonylurea herbicide sensitivity,,,,
,,,,"""An endosperm morphology trait (TO:0000575) which is a brittle endosperm (PO:0009089)."" [PO:0009089, TO:moorel]",brittle endosperm,,,,['TO_GIT:133']
,,,,"""Absence of seminal roots in the plant."" [Gramene:pankaj_jaiswal]",seminal rootless,,,"['""absence of seminal roots (related)"" RELATED []']",
,,,,"""In maize ears, the floral meristems undergo repeated dichotomous branching, resulting in fascicled (highly branched and bundled or clustered) ears."" [Gramene:pankaj_jaiswal]",fascicled ear,,,,
,This is also an endosperm quality trait (TO:0000587).,,,"""An endosperm morphology trait (TO:0000575) which is an etched endosperm (PO:0009089)."" [PO:0009089, TO:moorel]",etched endosperm,,,,['TO_GIT:133']
,This is also an endosperm quality trait (TO:0000587). Refers to rough PATO:0000700 A texture quality inhering in a bearer by virtue of the bearer's irregular surface.,,,"""An endosperm morphology trait (TO:0000575) which is a rough endosperm (PO:0009089)."" [PO:0009089, TO:moorel]",rough endosperm,,,,"['PATO:0000700', 'TO_GIT:133']"
,,,,,wrinkled seed,,,"['""wrinkled kernel (related)"" RELATED []']",
,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts.",,,"""A leaf vein morphology trait (TO:0000820) which is the color of a leaf lamina vein (PO:0020138)."" [PO:0020138, TO:moorel]",leaf vein color,,,,['PATO:0000014']
,,,,,leaf midrib color,,,,
,"If you are annotating to this term, please add an additional annotation to vascular leaf morphology (TO:0000419) or non-vascular leaf morphology trait (TO:0000925), depending on the species.",,,"""A leaf morphology trait (TO:0000748) which is a tightly rolled leaf encasing the next emerging leaf (PO:0025034)."" [Gramene:pankaj_jaiswal, PO:0025034\,TO\:cooperl]",leaf adherence,,,,
,,,,"""Traits associated with observing effects on the sporocyte development."" [Gramene:pankaj_jaiswal]",sporocyte development trait,,,,
,,,,"""Traits associated with observing effects on the microsporocyte development."" [Gramene:pankaj_jaiswal]",microsporocyte development trait,,,,
,,,,"""Traits associated with observing effects on the megasporocyte development."" [Gramene:pankaj_jaiswal]",megasporocyte development trait,,,,
,,,,"""A count of the number of megasporocyte that is done to determine any increase or decrease in number."" [Gramene:pankaj_jaiswal]",megasporocyte number,,,,
,,,,"""A count of the number of microsporocyte that is done to determine any increase or decrease in number."" [Gramene:pankaj_jaiswal]",microsporocyte number,,,,
,,,,"""The formation of spores."" [Gramene:pankaj_jaiswal]",sporogenesis,,,,
,,,,"""The traits associated with various developmental landmarks and processes of cell division during either the meiotic cell cycle or mitotic cell cycle."" [R:pj]",cell cycle trait,,,"['""cell division cycle (related)"" RELATED []']",['GO:0007049']
,Meiosis is a type of cell division in which haploid gametes and spores are formed. The process involves a single duplication of the genetic material followed by two mitotic divisions. As a result each daughter cell receives half the chromosomal content (haploid) as the parent cell.,,,"""The traits associated with various developmental landmarks and processes of cell division during either the meiotic cell cycle."" [Gramene:pankaj_jaiswal]",meiotic cell cycle trait,,,,['GO:0051321']
,"Mitosis is a type of cell division in which a cell duplicates its genetic information (DNA), in order to generate two, identical, daughter cells. Each daughter cell receives the same chromosome number / genetic content as the parent cell.",,,"""The traits associated with various developmental landmarks and processes of cell division during the mitotic cell cycle."" [Gramene:pankaj_jaiswal]",mitotic cell cycle trait,,,,['GO:0000278']
,,,,"""Measures the lignin content in a plant or plant part."" [Gramene:pankaj_jaiswal]",lignin content,,,,
,,,,,lignin monomer content,,,,
,,,,"""Traits associated with the biosynthesis of lignin in a plant or plant part."" [Gramene:pankaj_jaiswal]",lignin biosynthesis trait,,,"['""lignin biosynthesis (related)"" RELATED []']",['GO:0009809']
['TO:0002760'],Refer to length (PATO:0000122): A 1-D extent quality which is equal to the distance between two points.,,,"""A fruit length (TO:0002626) of the dehulled grain with pericarp (PO:0009084)."" [Gramene:pankaj_jaiswal, PO:0009084, TO:moorel]",grain length,,,"['""DHULGRLG (related)"" RELATED []', '""GRLG (related)"" RELATED []', '""KERLG (related)"" RELATED []', '""kernel length (related)"" RELATED []', '""length of dehulled grain (related)"" RELATED []', '""length of grain without hull (related)"" RELATED []']",['PATO:0000122']
,,,,"""The time between the initiation of two leaves on the shoot apical meristem is called a plastochron."" [Gramene:pankaj_jaiswal]",plastochron,,,,
,,moorel,2012-04-19T10:36:57Z,"""A multi-tissue plant structure morphology trait (TO:0000836) which is a quality of a plant organ (PO:0009008)."" [PO:0009008, TO:cooperl]",plant organ morphology trait,,,,['TO_GIT:55']
,"Includes visual scoring of plant characteristics such as plant height (TO:0000207), uniformity of plants, plant damage by diseases and insects and lodging incidence (TO:0000068).",moorel,2012-04-16T02:18:03Z,"""A whole plant morphology trait (TO:0000398) that is a qualitative score of the visual appeal (ideotype) of the whole plant (PO:0000003)."" [TO:curators]",plant aspect,,['Zea_mays'],,['TO_GIT:53']
,,moorel,2012-04-19T10:38:30Z,"""A plant organ morphology trait (TO:0000736) which is a quality of a plant axis (PO:0025004)."" [PO:0025004, TO:cooperl]",plant axis morphology trait,,,,['TO_GIT:55']
,,moorel,2012-04-19T10:40:33Z,"""A plant axis morphology trait (TO:0000738) which is a quality of a shoot axis (PO:0025029)."" [PO:0025029, TO:cooperl]",shoot axis morphology trait,,,,['TO_GIT:55']
,,moorel,2012-04-19T10:42:49Z,"""A shoot axis morphology trait (TO:0000739) which is a quality of a branch (PO:0025073)."" [PO:0025073, TO:cooperl]",branch morphology trait,,,,['TO_GIT:56']
,,moorel,2012-04-19T10:45:11Z,"""A plant axis morphology trait (TO:0000738) which is quality of a tuber (PO:0004543)."" [PO:0004543, TO:cooperl]",tuber morphology trait,,,,['TO_GIT:56']
,A subterranean shoot axis tuber (PO:0004547) is found in plants such as yam (Dioscorea sp.) and potato (Solanum tuberosum).,moorel,2012-04-19T10:46:10Z,"""A tuber morphology trait (TO:0000741) which is a quality of a subterranean shoot axis tuber (PO:0004547)."" [PO:0004547, TO:cooperl]",subterranean shoot axis tuber morphology trait,,['Solanaceae_spp'],,['TO_GIT:56']
,"Refer to shape (PATO:0000052): A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc).",moorel,2012-04-19T10:48:44Z,"""A subterranean shoot axis tuber morphology trait (TO:0000742) which is the shape of a subterranean  shoot axis tuber (PO:0004547)."" [PO:0004547, TO:cooperl]",subterranean shoot axis tuber shape,,['Solanaceae_spp'],"['""tuber shape (broad)"" BROAD []']","['PATO:0000052', 'TO_GIT:56']"
,Refer to size (PATO:0000117): A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,moorel,2012-04-19T10:51:20Z,"""A subterranean  shoot axis tuber morphology trait (TO:0000742) which is the size of a subterranean  shoot axis tuber (PO:0004547)."" [PO:0004547, TO:cooperl]",subterranean shoot axis tuber size,,['Solanaceae_spp'],"['""tuber size (broad)"" BROAD []']","['PATO:0000117', 'TO_GIT:56']"
,"A 1-9 scale is used to score the overall appearance of the tuber, with 1 the lowest score (very poor) and 9 the highest (excellent).",moorel,2012-04-19T10:54:11Z,"""A subterranean shoot axis tuber morphology trait (TO:0000742) which is the appearance of a subterranean shoot axis tuber (PO:0004547)."" [PO:0004547, TO:cooperl]",subterranean shoot axis tuber appearance,,['Solanaceae_spp'],"['""tuber appearance (broad)"" BROAD []']",['TO_GIT:56']
,Refer to mass (PATO:0000125): A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.,moorel,2012-04-19T10:56:34Z,"""A subterranean shoot axis tuber morphology trait (TO:0000742) which is the mass of a subterranean shoot axis tuber (PO:0004547)."" [PO:0004547, TO:cooperl]",subterranean shoot axis tuber mass,,['Solanaceae_spp'],"['""tuber mass (broad)"" BROAD []']","['PATO:0000125', 'TO_GIT:56']"
,,moorel,2012-04-25T01:09:12Z,"""A plant organ morphology trait (TO:0000736) which is quality of a phyllome (PO:0006001)."" [PO:0006001, TO:cooperl]",phyllome morphology trait,,,,['TO_GIT:60']
,,moorel,2012-04-25T01:16:59Z,"""A phyllome morphology trait (TO:0000747) which is quality of a leaf (PO:0025034)."" [PO:0025034, TO:cooperl]",leaf morphology trait,,['Zea_mays'],,['TO_GIT:60']
,,moorel,2012-04-25T01:18:38Z,"""A vascular leaf morphology trait (TO:0000419) which is a quality of a cotyledon (PO:0020030)."" [PO:0020030, TO:cooperl]",cotyledon morphology trait,,,,['TO_GIT:61']
,,moorel,2012-04-25T01:38:00Z,"""A seedling cotyledon morphology trait (TO:0000774) which is the color of a seedling cotyledon (PO:0025471)."" [PO:0025471, TO:cooperl]",seedling cotyledon color,,,,"['PATO:0000014', 'TO_GIT:61']"
,,moorel,2012-04-25T01:43:38Z,"""A seedling cotyledon morphology trait (TO:0000774) which is the number of seedling cotyledons (PO:0025471)."" [PO:0025471, TO:cooperl]",seedling cotyledon number,,,,"['PATO:0000070', 'TO_GIT:61']"
,,moorel,2012-04-25T01:47:23Z,"""A seedling cotyledon morphology trait (TO:0000774) which is the size of a seedling cotyledon (PO:0025471)."" [PO:0025471, TO:cooperl]",seedling cotyledon size,,,,"['PATO:0000117', 'TO_GIT:60']"
,,moorel,2012-04-26T12:12:50Z,"""A plant organ morphology trait (TO:0000736) which is a quality of a coleoptile (PO:0020033)."" [PO:0020033, TO:cooperl]",coleoptile morphology trait,,,,['TO_GIT:62']
,,moorel,2012-04-26T13:09:13Z,"""A cardinal organ part of a multi-tissue plant structure morphology trait (TO:0000837) which is a quality of a cardinal organ part (PO:0025001)."" [PO:0025001, TO:cooperl, TO:moorel]",cardinal organ part morphology trait,,,,['TO_GIT:63']
,,moorel,2012-04-26T13:12:37Z,"""A cardinal organ part morphology trait (TO:0000754) which is a quality of a shoot axis internode (PO:0005005)."" [PO:0005005, TO:cooperl]",shoot axis internode morphology trait,,,,['TO_GIT:64']
,,moorel,2012-04-26T13:17:31Z,"""A shoot axis internode morphology trait (TO:0000755) which is a quality of a stem internode (PO:0020142)."" [PO:0020142, TO:cooperl]",stem internode morphology trait,,,,['TO_GIT:64']
,,moorel,2012-04-26T13:21:05Z,"""A stem internode morphology trait (TO:0000756) which is a quality of a hypocotyl (PO:0020100)."" [PO:0020100, TO:cooperl]",hypocotyl morphology trait,,,,['TO_GIT:64']
,,moorel,2012-04-26T13:30:24Z,"""A stem internode morphology trait (TO:0000756) which is a quality of a mesocotyl (PO:0020037)."" [PO:0020037, TO:cooperl]",mesocotyl morphology trait,,,,['TO_GIT:64']
,The color of a seedling hypocotyl (PO:0025291) during the hypocotyl emergence stage (PO:0007043).,moorel,2012-04-26T13:41:13Z,"""A seedling hypocotyl morphology trait (TO:0000769) which is the color of a seedling hypocotyl (PO:0025291)."" [PO:0025291, TO:cooperl]",seedling hypocotyl color,,,,"['PATO:0000014', 'TO_GIT:64']"
,"Refers to green (PATO:0000320): A color hue with medium-low wavelength of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.",moorel,2012-04-30T13:15:20Z,"""A seedling hypocotyl color trait (TO:0000759) where a hypocotyl (PO:0020100) is observed to have the color green."" [PATO:0000320, PO:0020100, TO:cooperl]",seedling hypocotyl green,,,,"['PATO:0000014', 'PATO:0000320']"
,"Refers to green ((PATO:0000320): A color hue with medium-low wavelength of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers) and bronze ((PATO:0002363): A medium brown color with a metallic sheen, resembles the actual alloy bronze).",moorel,2012-04-30T13:16:51Z,"""A seedling hypocotyl color trait (TO:0000759) where a hypocotyl (PO:0020100) is observed to have the color green with a bronze band."" [PATO:0000320, PO:0020100, TO:cooperl]",seedling hypocotyl green with bronze band,,,,"['PATO:0000014', 'PATO:0000320', 'PATO:0002363']"
